connector_id,node_id,type,x,y,z,roi,confidence
277,3740,pre,15017,35224,25060,AL(R),0.992
278,3965,pre,16104,34822,25210,AL(R),0.955
279,3971,pre,16196,35374,25895,AL(R),0.975
280,3971,pre,16244,35419,25890,AL(R),0.995
281,1051,pre,15296,34732,25014,AL(R),0.965
282,3965,pre,16126,34786,25281,AL(R),0.961
283,984,pre,16159,34885,25443,AL(R),0.949
284,726,post,16987,36787,26345,AL(R),0.869487
285,3341,post,16849,36296,26659,AL(R),0.95684
286,2368,post,15414,35546,25414,AL(R),0.676548
287,592,pre,15136,12318,10736,CA(R),0.937
288,592,post,15129,12315,10734,CA(R),0.520614
289,14,pre,4911,22678,15745,LH(R),0.997
290,2409,pre,5837,21884,15870,LH(R),0.976
291,1132,pre,3992,20993,16117,LH(R),0.989
292,1592,pre,5329,22452,16979,LH(R),0.997
293,2608,pre,4962,23519,14729,LH(R),0.988
294,2608,pre,4926,23518,14782,LH(R),0.996
295,13,pre,4679,22643,15727,LH(R),0.993
296,3668,post,4624,21803,16027,LH(R),0.832903
297,1592,pre,5276,22416,16927,LH(R),0.969
298,3029,pre,5414,21767,15580,LH(R),0.99
299,13,pre,4743,22595,15693,LH(R),0.613
300,37,pre,5747,20335,14551,LH(R),0.931
301,547,post,15118,15527,11751,CA(R),0.999458
302,2398,pre,14963,15037,11389,CA(R),0.993
303,2393,post,15023,15297,11614,CA(R),0.687172
304,2398,pre,14945,15101,11419,CA(R),0.979
305,2398,pre,14863,15121,11416,CA(R),0.983
306,4016,pre,14791,14929,11458,CA(R),0.97
307,4016,pre,14742,15019,11417,CA(R),0.985
308,4016,pre,14804,15045,11432,CA(R),0.985
309,2398,pre,14854,14994,11499,CA(R),0.988
310,2399,pre,14804,14861,11413,CA(R),0.926
311,2399,pre,14818,14961,11252,CA(R),0.994
312,2401,pre,14680,14864,11304,CA(R),0.886
313,2400,pre,14711,14899,11246,CA(R),0.979
314,2398,pre,14845,15064,11337,CA(R),0.969
315,2399,pre,14767,14880,11401,CA(R),0.976
316,2399,pre,14845,15025,11264,CA(R),0.969
317,4320,pre,14683,15000,11293,CA(R),0.932
318,2399,pre,14899,14890,11333,CA(R),0.981
319,2400,pre,14748,14847,11283,CA(R),0.987
320,13,pre,4676,22722,15768,LH(R),0.978
321,4037,pre,4754,22867,15794,LH(R),0.98
322,4238,pre,6084,20475,14287,LH(R),0.978
323,4037,pre,4812,22829,15815,LH(R),0.98
324,3664,pre,6007,20486,14283,LH(R),0.968
325,2385,pre,16761,35487,25028,AL(R),0.996
326,3194,pre,16743,35573,24732,AL(R),0.984
327,2305,post,16862,36409,26528,AL(R),0.987421
328,2307,post,16868,36346,26578,AL(R),0.45845562
329,693,post,16336,15657,11300,CA(R),0.793094
330,699,pre,16321,15189,11028,CA(R),0.987
331,700,pre,16338,15106,10973,CA(R),0.965
332,700,pre,16266,15182,10928,CA(R),0.947
333,701,pre,16321,15070,10950,CA(R),0.969
334,2399,pre,14781,15028,11270,CA(R),0.898
335,2400,pre,14704,14949,11204,CA(R),0.983
336,2400,pre,14677,14951,11236,CA(R),0.954
337,4325,pre,5837,20289,14430,LH(R),0.995
338,4325,pre,5844,20210,14402,LH(R),0.982
339,4238,pre,6169,20447,14301,LH(R),0.995
340,40,pre,6258,20037,14357,LH(R),0.811
341,582,post,15137,13059,10891,CA(R),0.999727
342,74,post,10434,17655,12454,SCL(R),0.923018
343,4316,pre,16418,15050,10940,CA(R),0.991
344,4316,pre,16453,14996,10857,CA(R),0.968
345,4316,pre,16449,15074,10897,CA(R),0.99
346,4314,pre,16242,15132,10791,CA(R),0.983
347,4314,pre,16217,15119,10819,CA(R),0.812
348,4314,post,16227,15042,10752,CA(R),0.999764
349,4013,pre,16386,14895,10763,CA(R),0.994
350,555,post,15179,14861,11616,CA(R),0.871144
351,1059,pre,15172,34866,25249,AL(R),0.98
352,4228,pre,16533,35421,25895,AL(R),0.903
353,4325,pre,5816,20186,14437,LH(R),0.986
354,759,pre,17080,35348,25414,AL(R),0.903
355,32,post,5261,20873,15118,LH(R),0.995
356,788,post,16227,34485,25217,AL(R),0.931
357,318,post,16113,34029,26803,,0.457744
358,140,pre,17990,16069,13774,,0.973
359,53,post,7594,19027,13462,LH(R),0.895
360,3749,post,15091,35300,25038,AL(R),0.4606692
361,4313,pre,15168,11901,10712,CA(R),0.965
362,4315,pre,14930,12023,10683,CA(R),0.914
363,4234,pre,14995,11820,10685,CA(R),0.979
364,594,pre,15052,12074,10688,CA(R),0.967
365,596,pre,15130,11903,10674,CA(R),0.842
366,4315,pre,15001,11952,10732,CA(R),0.735
367,4315,pre,15011,11943,10656,CA(R),0.904
368,595,pre,15151,12023,10696,CA(R),0.895
369,3289,pre,15285,12060,10624,CA(R),0.874
370,593,pre,15044,12223,10534,CA(R),0.815
371,593,pre,15041,12220,10577,CA(R),0.978
372,594,pre,15196,12183,10588,CA(R),0.924
373,599,pre,14914,11881,10527,CA(R),0.934
374,593,pre,14979,12165,10610,CA(R),0.889
375,4311,pre,15247,11877,10551,CA(R),0.783
376,4308,post,14918,11707,10774,CA(R),0.886887
377,4313,pre,15187,11827,10689,CA(R),0.868
378,4235,pre,14916,11771,10685,CA(R),0.962
379,601,pre,14938,11669,10670,CA(R),0.977
380,599,pre,14961,11764,10568,CA(R),0.84
381,600,pre,14935,11714,10609,CA(R),0.896
382,3658,post,15090,11855,10602,CA(R),0.999999
383,3660,pre,15068,11667,10554,CA(R),0.852
384,3660,pre,15080,11686,10569,CA(R),0.823
385,600,pre,14991,11726,10593,CA(R),0.785
386,3660,pre,14956,11704,10524,CA(R),0.856
387,3660,pre,15085,11717,10514,CA(R),0.852
388,13,pre,4711,22662,15604,LH(R),0.963
389,12,pre,4676,22651,15573,LH(R),0.815
390,1972,pre,5046,23041,15101,LH(R),0.951
391,2133,pre,15640,34401,25708,AL(R),0.998
392,754,pre,17402,35588,25870,AL(R),0.995
393,1596,pre,5472,22434,16671,LH(R),0.955
394,1053,pre,15348,34837,25100,AL(R),0.958
395,611,pre,16194,34898,25337,AL(R),0.967
396,3028,pre,5178,21621,15691,LH(R),0.846
397,609,pre,16437,34973,25357,AL(R),0.991
398,4302,pre,15661,34061,25914,AL(R),0.997
399,3630,pre,16112,34920,25364,AL(R),0.973
400,3749,pre,15053,35196,25037,AL(R),0.97
401,4116,pre,15278,34979,25150,AL(R),0.956
402,4116,pre,15291,34933,25100,AL(R),0.993
403,1167,pre,15018,35337,25025,AL(R),0.989
404,1470,pre,4908,23792,14517,LH(R),0.98
405,1592,pre,5330,22483,16877,LH(R),0.984
406,2646,pre,16706,36793,26252,AL(R),0.983
407,4160,pre,15461,34443,24799,AL(R),0.99
408,3890,pre,15290,34416,25257,AL(R),0.997
409,496,pre,15492,34372,25223,AL(R),0.99
410,1593,pre,5463,22453,16951,LH(R),0.983
411,4248,pre,5041,23506,15561,LH(R),0.992
412,4324,pre,4979,22511,16627,LH(R),0.964
413,1198,pre,4925,22254,15003,LH(R),0.968
414,495,pre,15429,34371,25303,AL(R),0.997
415,4324,pre,4924,22515,16565,LH(R),0.987
416,3164,pre,15482,34659,24903,AL(R),0.877
417,1971,pre,5032,23048,15177,LH(R),0.969
418,12,pre,4567,22614,15569,LH(R),0.994
419,2849,pre,15383,34809,25288,AL(R),0.999
420,3199,pre,15358,34431,24913,AL(R),0.887
421,1204,pre,5206,22662,14761,LH(R),0.995
422,4272,post,15532,34659,25028,AL(R),0.553228
423,3199,post,15404,34421,24897,AL(R),0.644288
424,3200,post,15340,34390,24922,AL(R),0.77338
425,498,post,15383,34380,25012,AL(R),0.789113
426,2852,post,15496,34893,25386,AL(R),0.769306
427,2704,post,15401,35208,24776,AL(R),0.930691
428,3750,post,15148,35213,25003,AL(R),0.956499
429,4003,post,16481,35092,25301,AL(R),0.627785
430,496,post,15523,34315,25174,AL(R),0.92467
431,2993,post,16306,35114,25134,AL(R),0.934504
